114800_3..S01R,3,1135,708,8,1,1453,390,1154,3
113350_1..S03R,1,1137,694,11,1,1284,660,1155,3
110650_2..S01R,2,1137,667,10,1,898,390,1160,3
114800_3..S01R,3,1137,708,8,1,1269,390,1154,3
113350_1..S03R,1,1141,694,12,1,1113,660,1163,2
110650_2..S01R,2,1141,667,11,1,739,390,1160,2
114800_3..S01R,3,1141,708,9,1,1080,390,1166,2
111750_1..S03R,1,1143,678,12,1,0,660,1163,2
110650_2..S01R,2,1143,667,10,1,582,390,1161,2
114800_3..S01R,3,1143,708,8,1,891,390,1166,2
113350_1..S03R,1,1147,694,11,1,704,660,1164,2
110650_2..S01R,2,1147,667,10,1,395,390,1161,2
114800_3..S01R,3,1147,708,8,1,707,390,1166,2
113350_1..S03R,1,1150,694,12,1,523,660,1171,3
110650_2..S01R,2,1150,667,10,1,229,390,1169,3
114800_3..S01R,3,1150,708,9,1,556,390,1167,3
118950_1..S03R,1,1168,750,12,1,2838,660,1187,1
119700_2..S01R,2,1168,757,10,1,4158,390,1194,1
119600_3..S01R,3,1168,756,9,1,2328,390,1190,1
118950_1..S03R,1,1171,750,10,1,2652,660,1198,2
119700_2..S01R,2,1171,757,10,1,3972,390,1194,2
119600_3..S01R,3,1171,756,8,1,2142,390,1202,2
118950_1..S03R,1,1174,750,11,1,2465,660,1198,2
119700_2..S01R,2,1174,757,10,1,3785,390,1193,2
116000_3..S01R,3,1174,720,8,1,0,390,1202,2
118950_1..S03R,1,1177,750,11,1,2276,660,1198,2
120950_2..S01R,2,1177,730,11,1,4316,390,1194,2
119600_3..S01R,3,1177,756,8,1,1766,390,1202,2
118950_1..S03R,1,1181,750,12,1,2091,660,1198,2
120950_2..S01R,2,1180,730,11,1,4131,390,1195,2
119600_3..S01R,3,1180,756,8,1,1581,390,1202,2
118950_1..S03R,1,1183,750,12,1,1907,660,1204,3
120950_2..S01R,2,1183,730,10,1,3947,390,1209,3
119600_3..S01R,3,1183,756,8,1,1397,390,1202,3
115750_1..S03R,1,1186,718,11,1,0,660,1203,3
120950_2..S01R,2,1186,730,10,1,3762,390,1209,3
119600_3..S01R,3,1186,756,8,1,1212,390,1202,3
122150_1..S03R,1,1190,742,12,1,3456,660,1211,2
120950_2..S01R,2,1190,730,11,1,3576,390,1209,2
119600_3..S01R,3,1190,756,8,1,1026,390,1214,2
122150_1..S03R,1,1193,742,11,1,3271,660,1210,2
120950_2..S01R,2,1193,730,10,1,3391,390,1210,2
119600_3..S01R,3,1193,756,8,1,841,390,1214,2
122150_1..S03R,1,1195,742,12,1,3087,660,1219,1
120950_2..S01R,2,1195,730,10,1,3207,390,1223,1
119600_3..S01R,3,1195,756,8,1,657,390,1226,1
117350_1..S03R,1,1199,734,12,1,0,660,1219,1
120950_2..S01R,2,1199,730,10,1,3023,390,1223,1
119600_3..S01R,3,1199,756,8,1,482,390,1226,1
122150_1..S03R,1,1202,742,12,1,2715,660,1219,1
120950_2..S01R,2,1202,730,11,1,2835,390,1223,1
119600_3..S01R,3,1202,756,9,1,287,390,1226,1
122150_1..S03R,1,1205,742,12,1,2530,660,1227,2
120950_2..S01R,2,1205,730,10,1,2650,390,1224,2
119600_3..S01R,3,1205,756,9,1,122,390,1226,2
118150_1..S03R,1,1208,742,12,1,0,660,1226,2
120950_2..S01R,2,1208,730,10,1,2465,390,1224,2
122000_3..S01R,3,1208,740,8,1,1355,390,1226,2
122150_1..S03R,1,1211,742,11,1,2155,660,1227,2
120950_2..S01R,2,1211,730,10,1,2288,390,1224,2
122000_3..S01R,3,1211,740,9,1,1165,390,1226,2
122150_1..S03R,1,1215,742,12,1,1968,660,1235,2
120950_2..S01R,2,1214,730,10,1,2133,390,1234,2
122000_3..S01R,3,1214,740,8,1,978,390,1238,2
122150_1..S03R,1,1217,742,11,1,1781,660,1235,2
117300_2..S01R,2,1217,733,10,1,0,390,1235,2
122000_3..S01R,3,1217,740,8,1,791,390,1238,2
